timestamp,start_time,datetime,fundingRate
2021-01-01 00:00:00,1609459200000,2021-01-01 00:00:00,0.02283505
2021-01-01 01:00:00,1609462800000,2021-01-01 01:00:00,0.02859635
2021-01-01 02:00:00,1609466400000,2021-01-01 02:00:00,0.04000617
2021-01-01 03:00:00,1609470000000,2021-01-01 03:00:00,0.04564937
2021-01-01 04:00:00,1609473600000,2021-01-01 04:00:00,0.04162025
2021-01-01 05:00:00,1609477200000,2021-01-01 05:00:00,0.03894115
2021-01-01 06:00:00,1609480800000,2021-01-01 06:00:00,0.03744198
2021-01-01 07:00:00,1609484400000,2021-01-01 07:00:00,0.03151688
2021-01-01 08:00:00,1609488000000,2021-01-01 08:00:00,0.02434433
2021-01-01 09:00:00,1609491600000,2021-01-01 09:00:00,0.0222524
2021-01-01 10:00:00,1609495200000,2021-01-01 10:00:00,0.02381212
2021-01-01 11:00:00,1609498800000,2021-01-01 11:00:00,0.02921685
2021-01-01 12:00:00,1609502400000,2021-01-01 12:00:00,0.03489803
2021-01-01 13:00:00,1609506000000,2021-01-01 13:00:00,0.03661903
2021-01-01 14:00:00,1609509600000,2021-01-01 14:00:00,0.03902075
2021-01-01 15:00:00,1609513200000,2021-01-01 15:00:00,0.03663238
2021-01-01 16:00:00,1609516800000,2021-01-01 16:00:00,0.03295737
2021-01-01 17:00:00,1609520400000,2021-01-01 17:00:00,0.03058058
2021-01-01 18:00:00,1609524000000,2021-01-01 18:00:00,0.02680692
2021-01-01 19:00:00,1609527600000,2021-01-01 19:00:00,0.02025167
2021-01-01 20:00:00,1609531200000,2021-01-01 20:00:00,0.01359565
2021-01-01 21:00:00,1609534800000,2021-01-01 21:00:00,0.01
2021-01-01 22:00:00,1609538400000,2021-01-01 22:00:00,0.01
2021-01-01 23:00:00,1609542000000,2021-01-01 23:00:00,0.01
2021-01-02 00:00:00,1609545600000,2021-01-02 00:00:00,0.01
2021-01-02 01:00:00,1609549200000,2021-01-02 01:00:00,0.01
2021-01-02 02:00:00,1609552800000,2021-01-02 02:00:00,0.01
2021-01-02 03:00:00,1609556400000,2021-01-02 03:00:00,0.01
2021-01-02 04:00:00,1609560000000,2021-01-02 04:00:00,0.01
2021-01-02 05:00:00,1609563600000,2021-01-02 05:00:00,0.01
2021-01-02 06:00:00,1609567200000,2021-01-02 06:00:00,0.01014023
2021-01-02 07:00:00,1609570800000,2021-01-02 07:00:00,0.01548517
2021-01-02 08:00:00,1609574400000,2021-01-02 08:00:00,0.0276208
2021-01-02 09:00:00,1609578000000,2021-01-02 09:00:00,0.03702562
2021-01-02 10:00:00,1609581600000,2021-01-02 10:00:00,0.0432047
2021-01-02 11:00:00,1609585200000,2021-01-02 11:00:00,0.04647675
2021-01-02 12:00:00,1609588800000,2021-01-02 12:00:00,0.0521634
2021-01-02 13:00:00,1609592400000,2021-01-02 13:00:00,0.07531148
2021-01-02 14:00:00,1609596000000,2021-01-02 14:00:00,0.09687512
2021-01-02 15:00:00,1609599600000,2021-01-02 15:00:00,0.11388853
2021-01-02 16:00:00,1609603200000,2021-01-02 16:00:00,0.11639597
2021-01-02 17:00:00,1609606800000,2021-01-02 17:00:00,0.12257688
2021-01-02 18:00:00,1609610400000,2021-01-02 18:00:00,0.12243903
2021-01-02 19:00:00,1609614000000,2021-01-02 19:00:00,0.14112583
2021-01-02 20:00:00,1609617600000,2021-01-02 20:00:00,0.15812568
2021-01-02 21:00:00,1609621200000,2021-01-02 21:00:00,0.17794003
2021-01-02 22:00:00,1609624800000,2021-01-02 22:00:00,0.16041468
2021-01-02 23:00:00,1609628400000,2021-01-02 23:00:00,0.13532577
2021-01-03 00:00:00,1609632000000,2021-01-03 00:00:00,0.11530813
2021-01-03 01:00:00,1609635600000,2021-01-03 01:00:00,0.10011643
2021-01-03 02:00:00,1609639200000,2021-01-03 02:00:00,0.08410275
2021-01-03 03:00:00,1609642800000,2021-01-03 03:00:00,0.06901098
2021-01-03 04:00:00,1609646400000,2021-01-03 04:00:00,0.05736255
2021-01-03 05:00:00,1609650000000,2021-01-03 05:00:00,0.07364777
2021-01-03 06:00:00,1609653600000,2021-01-03 06:00:00,0.0987662
2021-01-03 07:00:00,1609657200000,2021-01-03 07:00:00,0.11513123
2021-01-03 08:00:00,1609660800000,2021-01-03 08:00:00,0.11536002
2021-01-03 09:00:00,1609664400000,2021-01-03 09:00:00,0.11954643
2021-01-03 10:00:00,1609668000000,2021-01-03 10:00:00,0.11842277
2021-01-03 11:00:00,1609671600000,2021-01-03 11:00:00,0.1197608
2021-01-03 12:00:00,1609675200000,2021-01-03 12:00:00,0.12072835
2021-01-03 13:00:00,1609678800000,2021-01-03 13:00:00,0.12026608
2021-01-03 14:00:00,1609682400000,2021-01-03 14:00:00,0.12842393
2021-01-03 15:00:00,1609686000000,2021-01-03 15:00:00,0.15137953
2021-01-03 16:00:00,1609689600000,2021-01-03 16:00:00,0.15354677
2021-01-03 17:00:00,1609693200000,2021-01-03 17:00:00,0.15327083
2021-01-03 18:00:00,1609696800000,2021-01-03 18:00:00,0.15235608
2021-01-03 19:00:00,1609700400000,2021-01-03 19:00:00,0.15450693
2021-01-03 20:00:00,1609704000000,2021-01-03 20:00:00,0.14867375
2021-01-03 21:00:00,1609707600000,2021-01-03 21:00:00,0.146516
2021-01-03 22:00:00,1609711200000,2021-01-03 22:00:00,0.15074998
2021-01-03 23:00:00,1609714800000,2021-01-03 23:00:00,0.16239123
2021-01-04 00:00:00,1609718400000,2021-01-04 00:00:00,0.161174
