timestamp,start_time,datetime,fundingRate
2024-01-04 01:00:00,1704330000000,2024-01-04 01:00:00,0.01
2024-01-04 02:00:00,1704333600000,2024-01-04 02:00:00,0.01
2024-01-04 03:00:00,1704337200000,2024-01-04 03:00:00,0.01
2024-01-04 04:00:00,1704340800000,2024-01-04 04:00:00,0.01
2024-01-04 05:00:00,1704344400000,2024-01-04 05:00:00,0.01
2024-01-04 06:00:00,1704348000000,2024-01-04 06:00:00,0.01
2024-01-04 07:00:00,1704351600000,2024-01-04 07:00:00,0.01
2024-01-04 08:00:00,1704355200000,2024-01-04 08:00:00,0.01
2024-01-04 09:00:00,1704358800000,2024-01-04 09:00:00,0.01
2024-01-04 10:00:00,1704362400000,2024-01-04 10:00:00,0.01
2024-01-04 11:00:00,1704366000000,2024-01-04 11:00:00,0.01
2024-01-04 12:00:00,1704369600000,2024-01-04 12:00:00,0.01
2024-01-04 13:00:00,1704373200000,2024-01-04 13:00:00,0.01
2024-01-04 14:00:00,1704376800000,2024-01-04 14:00:00,0.01
2024-01-04 15:00:00,1704380400000,2024-01-04 15:00:00,0.01
2024-01-04 16:00:00,1704384000000,2024-01-04 16:00:00,0.01
2024-01-04 17:00:00,1704387600000,2024-01-04 17:00:00,0.01
2024-01-04 18:00:00,1704391200000,2024-01-04 18:00:00,0.01
2024-01-04 19:00:00,1704394800000,2024-01-04 19:00:00,0.01
2024-01-04 20:00:00,1704398400000,2024-01-04 20:00:00,0.01
2024-01-04 21:00:00,1704402000000,2024-01-04 21:00:00,0.01
2024-01-04 22:00:00,1704405600000,2024-01-04 22:00:00,0.01
2024-01-04 23:00:00,1704409200000,2024-01-04 23:00:00,0.01
2024-01-05 00:00:00,1704412800000,2024-01-05 00:00:00,0.01
2024-01-05 01:00:00,1704416400000,2024-01-05 01:00:00,0.01
2024-01-05 02:00:00,1704420000000,2024-01-05 02:00:00,0.01
2024-01-05 03:00:00,1704423600000,2024-01-05 03:00:00,0.01
2024-01-05 04:00:00,1704427200000,2024-01-05 04:00:00,0.01
2024-01-05 05:00:00,1704430800000,2024-01-05 05:00:00,0.01
2024-01-05 06:00:00,1704434400000,2024-01-05 06:00:00,0.01
2024-01-05 07:00:00,1704438000000,2024-01-05 07:00:00,0.01
2024-01-05 08:00:00,1704441600000,2024-01-05 08:00:00,0.01
2024-01-05 09:00:00,1704445200000,2024-01-05 09:00:00,0.01
2024-01-05 10:00:00,1704448800000,2024-01-05 10:00:00,0.01
2024-01-05 11:00:00,1704452400000,2024-01-05 11:00:00,0.01
2024-01-05 12:00:00,1704456000000,2024-01-05 12:00:00,0.01
2024-01-05 13:00:00,1704459600000,2024-01-05 13:00:00,0.01
2024-01-05 14:00:00,1704463200000,2024-01-05 14:00:00,0.01
2024-01-05 15:00:00,1704466800000,2024-01-05 15:00:00,0.01
2024-01-05 16:00:00,1704470400000,2024-01-05 16:00:00,0.01
2024-01-05 17:00:00,1704474000000,2024-01-05 17:00:00,0.01
2024-01-05 18:00:00,1704477600000,2024-01-05 18:00:00,0.01
2024-01-05 19:00:00,1704481200000,2024-01-05 19:00:00,0.01
2024-01-05 20:00:00,1704484800000,2024-01-05 20:00:00,0.01
2024-01-05 21:00:00,1704488400000,2024-01-05 21:00:00,0.01
2024-01-05 22:00:00,1704492000000,2024-01-05 22:00:00,0.01
2024-01-05 23:00:00,1704495600000,2024-01-05 23:00:00,0.01
2024-01-06 00:00:00,1704499200000,2024-01-06 00:00:00,0.01
2024-01-06 01:00:00,1704502800000,2024-01-06 01:00:00,0.01
2024-01-06 02:00:00,1704506400000,2024-01-06 02:00:00,0.01
2024-01-06 03:00:00,1704510000000,2024-01-06 03:00:00,0.01
2024-01-06 04:00:00,1704513600000,2024-01-06 04:00:00,0.01
2024-01-06 05:00:00,1704517200000,2024-01-06 05:00:00,0.01
2024-01-06 06:00:00,1704520800000,2024-01-06 06:00:00,0.01
2024-01-06 07:00:00,1704524400000,2024-01-06 07:00:00,0.01
2024-01-06 08:00:00,1704528000000,2024-01-06 08:00:00,0.01
2024-01-06 09:00:00,1704531600000,2024-01-06 09:00:00,0.01
2024-01-06 10:00:00,1704535200000,2024-01-06 10:00:00,0.01
2024-01-06 11:00:00,1704538800000,2024-01-06 11:00:00,0.01
2024-01-06 12:00:00,1704542400000,2024-01-06 12:00:00,0.01
2024-01-06 13:00:00,1704546000000,2024-01-06 13:00:00,0.01
2024-01-06 14:00:00,1704549600000,2024-01-06 14:00:00,0.01
2024-01-06 15:00:00,1704553200000,2024-01-06 15:00:00,0.01
2024-01-06 16:00:00,1704556800000,2024-01-06 16:00:00,0.01
2024-01-06 17:00:00,1704560400000,2024-01-06 17:00:00,0.01
2024-01-06 18:00:00,1704564000000,2024-01-06 18:00:00,0.01
2024-01-06 19:00:00,1704567600000,2024-01-06 19:00:00,0.01
2024-01-06 20:00:00,1704571200000,2024-01-06 20:00:00,0.01
2024-01-06 21:00:00,1704574800000,2024-01-06 21:00:00,0.01
2024-01-06 22:00:00,1704578400000,2024-01-06 22:00:00,0.01
2024-01-06 23:00:00,1704582000000,2024-01-06 23:00:00,0.01
2024-01-07 00:00:00,1704585600000,2024-01-07 00:00:00,0.01
2024-01-07 01:00:00,1704589200000,2024-01-07 01:00:00,0.01
2024-01-07 02:00:00,1704592800000,2024-01-07 02:00:00,0.01
2024-01-07 03:00:00,1704596400000,2024-01-07 03:00:00,0.01
2024-01-07 04:00:00,1704600000000,2024-01-07 04:00:00,0.01
2024-01-07 05:00:00,1704603600000,2024-01-07 05:00:00,0.01
2024-01-07 06:00:00,1704607200000,2024-01-07 06:00:00,0.01
2024-01-07 07:00:00,1704610800000,2024-01-07 07:00:00,0.01
2024-01-07 08:00:00,1704614400000,2024-01-07 08:00:00,0.01
2024-01-07 09:00:00,1704618000000,2024-01-07 09:00:00,0.01
2024-01-07 10:00:00,1704621600000,2024-01-07 10:00:00,0.01
2024-01-07 11:00:00,1704625200000,2024-01-07 11:00:00,0.01
2024-01-07 12:00:00,1704628800000,2024-01-07 12:00:00,0.01
2024-01-07 13:00:00,1704632400000,2024-01-07 13:00:00,0.01
2024-01-07 14:00:00,1704636000000,2024-01-07 14:00:00,0.01
2024-01-07 15:00:00,1704639600000,2024-01-07 15:00:00,0.01
2024-01-07 16:00:00,1704643200000,2024-01-07 16:00:00,0.01
2024-01-07 17:00:00,1704646800000,2024-01-07 17:00:00,0.01
2024-01-07 18:00:00,1704650400000,2024-01-07 18:00:00,0.01
2024-01-07 19:00:00,1704654000000,2024-01-07 19:00:00,0.01
2024-01-07 20:00:00,1704657600000,2024-01-07 20:00:00,0.01
2024-01-07 21:00:00,1704661200000,2024-01-07 21:00:00,0.01
2024-01-07 22:00:00,1704664800000,2024-01-07 22:00:00,0.01
2024-01-07 23:00:00,1704668400000,2024-01-07 23:00:00,0.01
